,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
8C,42%,93%,,,3%,98%,,,,,,,,,,,,,5%,,72%,1%,,49%,,,44%,91%,,,18%,95%,,,,,,,,,,,,,20%,,69%,8%,,72%,,
8Av,87%,73%,,,,100%,,,,,,,,,,,4%,,5%,,96%,2%,,87%,,,75%,87%,,,4%,99%,,,,,,,,,,,,,20%,,88%,8%,,86%,,
IFJa,98%,99%,,,3%,59%,,,,,,,,,,,,8%,,,29%,,,7%,,,94%,91%,,,64%,90%,,,,,,,,,,,,,18%,,54%,4%,,49%,,
55b,88%,61%,,,12%,100%,,,,,,,,,,,,,,,92%,,,70%,,,8%,66%,,,1%,100%,,,,,,,,,,,,,,,59%,,,75%,,
IFJp,81%,75%,,,19%,33%,,,,,,,,,,,,14%,,,5%,,,5%,,,54%,41%,,,57%,82%,,,,,,,,,,,,1%,,,13%,,,6%,,
6v,100%,98%,,,99%,98%,,,,,,,,,,,,96%,,,64%,,,58%,,,98%,30%,,,100%,99%,,,,,,,,,,,,100%,,,87%,,,91%,,
PEF,86%,69%,,,51%,98%,,,,,,,,,,,,30%,,,34%,,,39%,,,68%,28%,,,70%,79%,,,,,,,,,,,,39%,,,38%,,,24%,,
s6-8,98%,,,,,0%,0%,,,,,,,,,,,,,,85%,1%,,77%,,,100%,,,,,73%,1%,,,,,,,,,,,,3%,,96%,,,96%,,
SCEF,91%,,,,,6%,100%,44%,,51%,,,,,,,89%,,,,93%,,,99%,,,67%,,,,,17%,100%,21%,,1%,,,,,,,76%,,,,90%,,,97%,,
SFL,100%,,,,,2%,91%,18%,,12%,,,,,,,75%,,,,100%,2%,,100%,,,99%,,,,,25%,88%,22%,,9%,,,,,,,,,4%,,100%,,,100%,,
6mp,85%,,,,,25%,22%,,,,,,,,,,100%,,,,100%,,,99%,,,72%,,,,,67%,49%,,,,,,,,,,100%,,,,99%,,,100%,,
6a,99%,,,,,86%,,,,,,,,,,,88%,,,,98%,,,77%,,,99%,15%,,,,93%,0%,,,,,,,,,,62%,,,,95%,,,75%,,
6ma,100%,,,,,33%,1%,,,,,,,,,,99%,,,,100%,,,100%,,,100%,1%,,,,86%,7%,,,,,,,,,,97%,,,,100%,,,100%,,
6d,79%,,,,,100%,,,,,,,,,,,100%,,,,100%,,,93%,,,38%,13%,,,,97%,,,,,,,,,,,99%,,,,99%,,,93%,,
i6-8,88%,1%,,,,97%,,,,,,,,,,,9%,,,,90%,,,66%,,,90%,64%,,,,97%,0%,,,,,,,,,,2%,,,,89%,,,77%,,
FEF,51%,1%,,,,100%,,,,,,,,,,,25%,,,,90%,,,43%,,,2%,53%,,,,99%,,,,,,,,,,,3%,,,,61%,,,81%,,
TPOJ1,,81%,97%,,,,,,,,,,,,,,,,,,,,,,,,,64%,100%,1%,,,,,,,,,,,,,,,,,1%,,,1%,,
STV,,97%,94%,,,,,,,,,,,,,,,,,,,,,0%,,,,11%,100%,,0%,4%,,,,,,,,,,,,,,,0%,,,11%,,
RI,,99%,0%,1%,7%,,,,,,,,,,,,,,,,28%,,,5%,,,,,2%,44%,1%,1%,,,,,,,,0%,,,,,,,20%,,,21%,,
PFt,,0%,0%,,95%,72%,,,,,,,,,,,,,,,5%,,,1%,,,,,,,100%,21%,,,,,,,,,,,,,,,11%,,,15%,,
PF,,92%,71%,,100%,74%,,,,,,,,,,,,,,,7%,,,3%,,,,,69%,,100%,82%,,,,,,,,,,,,,,,23%,,,38%,,
PFcm,,97%,26%,,99%,2%,,,,,,,,,,,,,,,28%,,,7%,,,,,11%,,58%,24%,,,,,,,,,,,,,,,27%,,,26%,,
PSL,,97%,95%,,59%,15%,,,,,,,,,,,,,,,,,,1%,,,,,95%,,60%,58%,,,,,,,,,,,,,,,3%,,,30%,,
Ig,,2%,,,2%,,,,,,,,,,,,,,,0%,82%,,,0%,,,,,,,1%,,,,,,,,,,,,,,,1%,82%,,,4%,,
OP2-3,,10%,,,75%,,,,,,,,,,,,,2%,,,83%,,,2%,,,,,,,33%,0%,,,,,,,,,,,,,,,60%,,,6%,,
PFop,,73%,,,100%,,,,,,,,,,,,,,,,16%,,,4%,,,,,0%,,98%,,,,,,,,,,,,,,,,22%,,,24%,,
OP1,,35%,,,98%,,,,,,,,,,,,,,,,73%,,,7%,,,,,,,55%,,,,,,,,,,,,,,,,31%,,,6%,,
